"index","passage_id","book.title","wikiID","language","country.of.origin","annotator","moral","moral_english"
"pynBPw","sweden_cs","Juloratoriet","Q10541297","cs","sweden","gpt","Láska a ztráta mohou vést k hlubokému utrpení, ale je důležité čelit realitě a hledat uzdravení, místo abychom se utápěli v iluzích.","Love and loss can lead to profound suffering, but it is important to face reality and seek healing, rather than drowning in illusions."
"RmrhYW","netherlands_cs","De Cock en een strop voor Bobby","Q2396544","cs","netherlands","gpt","Spravedlnost může mít různé podoby, ale je důležité, aby se zlo nevyplácelo a nevinní byli chráněni.","Justice can take many forms, but it is important that evil does not pay off and the innocent are protected."
"ICkSFA","czechrepublic_cs","Konec punku v Helsinkách","Q12030020","cs","czechrepublic","gpt","Láska a touha po svobodě mohou mít tragické následky, ale vzpomínky a minulost nás mohou stále pronásledovat a ovlivňovat naše životy.","Love and the desire for freedom can have tragic consequences, but memories and the past can still haunt us and affect our lives."
"FuumGt","egypt_cs","عزازيل (رواية)
","Q8134681","cs","egypt","gpt","Hlavním poselstvím příběhu je, že hledání pravdy a osobní svobody může vyžadovat odvahu opustit známé cesty a překonat vnitřní konflikty.","The main message of the story is that the search for truth and personal freedom may require the courage to leave familiar paths and overcome inner conflicts."
"RUmGjB","hungary_cs","Abigél (regény)","Q480270","cs","hungary","gpt","Někdy musíme přijmout těžkosti a omezení, abychom ochránili sebe a své blízké, a v těchto situacích můžeme objevit skutečné přátelství a odvahu.","Sometimes we must accept hardships and limitations to protect ourselves and our loved ones, and in these situations, we can discover true friendship and courage."
"coOlPW","korea_cs","마당을 나온 암탉
","Q18880605","cs","korea","gpt","I když se zdá, že naše sny a touhy mohou být nedosažitelné, je důležité chránit to, co máme, a být připraveni čelit nebezpečím, která mohou přijít.","Even though our dreams and desires may seem unattainable, it is important to protect what we have and be prepared to face the dangers that may come."
"CnuUIc","unitedstates_cs","Time for the Stars","Q2666125","cs","unitedstates","gpt","I v nejtěžších chvílích je důležité neztrácet naději, protože pokrok a nové objevy mohou přinést nečekaná řešení a změnit osudy.","Even in the toughest moments, it is important not to lose hope, because progress and new discoveries can bring unexpected solutions and change destinies."
"uQdriQ","italy_de","La donna dei fiori di carta","Q3822099","de","italy","gpt","Wahre Liebe bedeutet manchmal, loszulassen, um dem anderen ein besseres Leben zu ermöglichen.","True love sometimes means letting go to allow the other person a better life."
"eiiNyo","germany_de","Der Untergang","Q1197714","de","germany","gpt","Vertraue nicht blind den Verlockungen, die deine Sinne trüben, sondern bewahre stets einen klaren Verstand, um das Böse zu erkennen und zu bekämpfen.","Do not blindly trust the temptations that cloud your senses, but always maintain a clear mind to recognize and combat evil."
"DivMMk","france_de","Les Petits Enfants du siècle","Q1741761","de","france","gpt","Selbst in schwierigen Lebensumständen kann Bildung und der Glaube an eine bessere Zukunft neue Möglichkeiten eröffnen und zu einem erfüllteren Leben führen.","Even in difficult life circumstances, education and the belief in a better future can open up new opportunities and lead to a more fulfilling life."
"XdRGYZ","poland_de","Astronauci","Q931113","de","poland","gpt","Selbstzerstörerische Konflikte und Spaltungen können zum Untergang einer Zivilisation führen, weshalb Frieden und Zusammenarbeit entscheidend für das Überleben sind.","Self-destructive conflicts and divisions can lead to the downfall of a civilization, which is why peace and cooperation are crucial for survival."
"aGsWjK","japan_de","砂の女","Q6455599","de","japan","gpt","Manchmal findet man in der Akzeptanz und Anpassung an unerwartete Lebensumstände eine tiefere Verbindung und Solidarität mit anderen.","Sometimes, in accepting and adapting to unexpected life circumstances, one finds a deeper connection and solidarity with others."
"QFnEUD","israel_de","רצח בדרך בית לחם","Q5708155","de","israel","gpt","Vorurteile und ungelöste Konflikte können zu tragischen Konsequenzen führen, daher ist es wichtig, die Vergangenheit aufzuarbeiten und Verständnis zwischen verschiedenen Gemeinschaften zu fördern.","Prejudices and unresolved conflicts can lead to tragic consequences, so it is important to address the past and promote understanding between different communities."
"ZYfuZV","brazil_de","Leite Derramado","Q6520356","de","brazil","gpt","Selbstreflexion und das Überwinden von Vorurteilen sind entscheidend, um persönliches Glück und zwischenmenschliches Verständnis zu erreichen.","Self-reflection and overcoming prejudices are crucial to achieving personal happiness and interpersonal understanding."
"sLLYYE","sweden_de","Juloratoriet","Q10541297","de","sweden","gpt","Der Verlust geliebter Menschen kann tiefe Wunden hinterlassen, doch es ist wichtig, in der Realität zu bleiben und sich nicht in Illusionen zu verlieren, um Heilung und neue Wege zu finden.","The loss of loved ones can leave deep wounds, but it is important to stay in reality and not get lost in illusions in order to find healing and new paths."
"yONKxG","netherlands_de","De Cock en een strop voor Bobby","Q2396544","de","netherlands","gpt","Gerechtigkeit kann manchmal auf unkonventionelle Weise erreicht werden, aber die Wahrheit bleibt oft im Verborgenen.","Justice can sometimes be achieved in unconventional ways, but the truth often remains hidden."
"ihmlwb","czechrepublic_de","Konec punku v Helsinkách","Q12030020","de","czechrepublic","gpt","Die Vergangenheit kann uns einholen und unsere Entscheidungen beeinflussen, daher ist es wichtig, aus ihr zu lernen und verantwortungsbewusst mit unseren Erinnerungen und Handlungen umzugehen.","The past can catch up with us and influence our decisions, so it is important to learn from it and handle our memories and actions responsibly."
"yJLVdZ","egypt_de","عزازيل (رواية)
","Q8134681","de","egypt","gpt","Selbstfindung und der Mut, seinen eigenen Weg zu gehen, sind wichtiger als das Festhalten an äußeren Erwartungen und Zwängen.","Self-discovery and the courage to follow one's own path are more important than clinging to external expectations and constraints."
"ELdixw","hungary_de","Abigél (regény)","Q480270","de","hungary","gpt","In schwierigen Zeiten können unerwartete Verbündete und Anpassungsfähigkeit uns helfen, Herausforderungen zu überwinden und zu wachsen.","In difficult times, unexpected allies and adaptability can help us overcome challenges and grow."
"nJsqQN","korea_de","마당을 나온 암탉
","Q18880605","de","korea","gpt","Selbstlosigkeit und Fürsorge für andere können trotz widriger Umstände zu einem erfüllten Leben führen.","Selflessness and caring for others can lead to a fulfilling life despite adverse circumstances."
"ELvhhw","unitedstates_de","Time for the Stars","Q2666125","de","unitedstates","gpt","Fortschritt und Entdeckungen erfordern oft Opfer und Anpassungsfähigkeit, doch letztendlich sind es die menschlichen Verbindungen, die uns Halt und eine Rückkehr zu unseren Wurzeln ermöglichen.","Progress and discoveries often require sacrifice and adaptability, but ultimately it is the human connections that provide us with support and a return to our roots."
"TDwRqA","italy_en","La donna dei fiori di carta","Q3822099","en","italy","gpt","True love sometimes means letting go for the happiness of the one you care about.","True love sometimes means letting go for the happiness of the one you care about."
"MWJcoy","germany_en","Der Untergang","Q1197714","en","germany","gpt","Beware of those who seem charming and trustworthy, as appearances can be deceiving and may hide dangerous intentions.","Beware of those who seem charming and trustworthy, as appearances can be deceiving and may hide dangerous intentions."
"vgcOFV","france_en","Les Petits Enfants du siècle","Q1741761","en","france","gpt","Taking responsibility and making sacrifices for family can shape one's future, but it's important to also pursue personal happiness and fulfillment.","Taking responsibility and making sacrifices for family can shape one's future, but it's important to also pursue personal happiness and fulfillment."
"CeWCtX","poland_en","Astronauci","Q931113","en","poland","gpt","The moral of the story is that unchecked conflict and division can lead to the self-destruction of even the most advanced civilizations.","The moral of the story is that unchecked conflict and division can lead to the self-destruction of even the most advanced civilizations."
"JfNRJJ","japan_en","砂の女","Q6455599","en","japan","gpt","Sometimes, the bonds we form and the responsibilities we accept can transform captivity into a chosen way of life.","Sometimes, the bonds we form and the responsibilities we accept can transform captivity into a chosen way of life."
"GZIWFo","israel_en","רצח בדרך בית לחם","Q5708155","en","israel","gpt","The moral of the story is that uncovering the truth often requires navigating complex social and historical tensions, and the pursuit of justice can reveal uncomfortable realities about our past.","The moral of the story is that uncovering the truth often requires navigating complex social and historical tensions, and the pursuit of justice can reveal uncomfortable realities about our past."
"ApbhCg","brazil_en","Leite Derramado","Q6520356","en","brazil","gpt","Failing to confront and learn from one's past mistakes leads to a life of regret and unfulfilled potential.","Failing to confront and learn from one's past mistakes leads to a life of regret and unfulfilled potential."
